Comment Number,Comment Content,Processed comments
401,Every candidate is of colour.,every candidate colour
402,"She has the best chance to win against Trump (her and Gretchen Whitmer as VP). It is time for the people of the United States to show some fairness and elect a very qualified (woman) President. That would be historic and will truly be exemplary to the world. Just on the basis of a non foul-mouthing, non-vulgar Presidential candidate (and serving as VP for four years), she should be the choice for President.",best chance win trump gretchen whitmer vp time people united state show fairness elect qualified woman president would historic truly exemplary world basis non foulmouthing nonvulgar presidential candidate serving vp four year choice president
403,The Joker just took over Gotham,joker took gotham
404,Enough about gender and race for god sake.,enough gender race god sake
405,"What is the truth about Kamala Harris?  <br>Kamala Harris was born in Oakland, CA on October 20, 1964.<br><br>Harris’s mother, Dr. Shyamala G. Harris, was from India and arrived in Berkeley, CA on a Visa (Green Card) in 1960.  Dr. Harris passed away in February 2009.  Her “Legacy” obituary states that she arrived alone in the U.S. at the age of 19 after having earned her undergraduate degree from Delhi University.<br><br>Kamala’s father, Donald Harris was in the USA on a temporary Visa from Jamaica. He arrived in the U.S. in 1961 as an “Issa Scholar” from Jamaica. <br><br>Neither parent was present in the U.S. as a legal resident for five years before Harris’s birth, a requirement to apply for naturalization of Kamala&#39;s parents.  Both parents were illegally in the USA on expired temporary Visas when Kamala was born.<br><br>Because the available public records fail to confirm that both her mother and her father were, on October 20, 1964, naturalized U.S. citizens, she is not eligible to be Vice President or POTUS.  Kamala Harris is NOT a “natural born Citizen” of the United States per Article 2 US Constitutional standards. She was born with citizenship and allegiance requirements to two countries, India and Jamaica. She does not have unity of citizenship and sole allegiance to the USA. She was born and raised with foreign influences on her because both parents were foreigners. The Constitution does not allow a Commander-in-Chief with birth allegiance to another country.<br><br>Although the Constitution of 1787 mentioned citizens, it did not define citizenship. In 1868 a definition of citizenship entered the Constitution with the ratification of the 14th Amendment. Here is the familiar language: “All persons born or naturalized in the United States and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside.” Thus, there are two components to American citizenship: birth or naturalization in the U.S. and subject to the jurisdiction of the U.S. Today, we somehow have come to believe that anyone born within the geographical limits of the U.S. is automatically subject to its jurisdiction; but this renders the jurisdiction clause utterly superfluous. If this had been the intention of the framers of the 14th Amendment, presumably they would have said simply that all persons born or naturalized in the U.S. are thereby citizens, but they didn&#39;t.<br><br>Indeed, during a debate over the amendment, Senator Jacob Howard, the author of the citizenship clause, attempted to assure skeptical colleagues that the language was not intended to make Indians citizens of the United States. Indians, Howard conceded, were born within the nation’s geographical limits, but he steadfastly maintained that they were not subject to its jurisdiction because they owed allegiance to their tribes and not to the United States.  Senator Lyman Trumbull, chairman of the Senate Judiciary Committee, supported this view, arguing that “subject to the jurisdiction thereof” meant “not owing allegiance to anybody else and being subject to the complete jurisdiction of the United States.”<br><br>Jurisdiction understood as allegiance, Senator Howard explained, excludes not only Indians but “persons born in the United States who are foreigners, aliens, or who belong to the families of ambassadors or foreign ministers.” * Thus, “subject to the jurisdiction” does not simply mean, as is commonly thought today, subject to American laws or courts. It means owing exclusive political allegiance to the U.S.",truth kamala harris kamala harris born oakland ca october harris mother dr shyamala g harris india arrived berkeley ca visa green card dr harris passed away february legacy obituary state arrived alone yous age earned undergraduate degree delhi universitykamalas father donald harris usa temporary visa jamaica arrived yous issa scholar jamaica neither parent present yous legal resident five year harris birth requirement apply naturalization kamalas parent parent illegally usa expired temporary visa kamala bornbecause available public record fail confirm mother father october naturalized yous citizen eligible vice president potus kamala harris natural born citizen united state per article u constitutional standard born citizenship allegiance requirement two country india jamaica unity citizenship sole allegiance usa born raised foreign influence parent foreigner constitution allow commanderinchief birth allegiance another countryalthough constitution mentioned citizen define citizenship definition citizenship entered constitution ratification th amendment familiar language person born naturalized united state subject jurisdiction thereof citizen united state state wherein reside thus two component american citizenship birth naturalization yous subject jurisdiction yous today somehow come believe anyone born within geographical limit yous automatically subject jurisdiction render jurisdiction clause utterly superfluous intention framer th amendment presumably would said simply person born naturalized yous thereby citizen notindeed debate amendment senator jacob howard author citizenship clause attempted assure skeptical colleague language intended make indian citizen united state indian howard conceded born within nation geographical limit steadfastly maintained subject jurisdiction owed allegiance tribe united state senator lyman trumbull chairman senate judiciary committee supported view arguing subject jurisdiction thereof meant owing allegiance anybody else subject complete jurisdiction united statesjurisdiction understood allegiance senator howard explained excludes indian person born united state foreigner alien belong family ambassador foreign minister thus subject jurisdiction simply mean commonly thought today subject american law court mean owing exclusive political allegiance yous
406,I’m a defense contractor. The chance of WW3 is much higher with Harris. I’m voting for Harris.,defense contractor chance ww much higher harris voting harris
408,"By the rules in place Harris gets all the pool of money with Biden out - time to rally, how to get voters??",rule place harris get pool money biden time rally get voter
409,"Good afternoon, I wish with all my heart that people vote for her, because she has virtues and qualities, may GOD win, not the devil, furthermore, a person who has a black resume cannot be president again,<br>Please, all Americans vote for her, for peace and love, for democracy,<br>I do not agree that people with a bad resume can be president again, also, like many American citizens, when you have a blemished resume, it is difficult to get a job, so the law should be for everyone, ok",good afternoon wish heart people vote virtue quality may god win devil furthermore person black resume not president againplease american vote peace love democracyi agree people bad resume president also many american citizen blemished resume difficult get job law everyone ok
410,Kamala is a disaster just like our Border. She is going to lose worse than Sleepy Joe.,kamala disaster border going lose worse sleepy joe
411,Harris is Indian. Her father is Jamaican. She has never said she’s African American.,harris indian father jamaican never said african american
412,RFK jr for VP and she would win.,rfk jr vp would win
413,She is a joke as well go trump.....,joke well go trump
414,"Harris hasn&#39;t been any ability in politics we can see from last 3.5 years. If she can be elected the next president, that is only a thing to say--US has gone too far on the track of political correctness and never returned again😂. If that so, America will degrade in the 30-50 years.",harris ability politics see last year elected next president thing sayus gone far track political correctness never returned america degrade year
415,Let&#39;s go Kamala! Get Kendrick Lamar and Michelle Obama to write out you platform speeches,let u go kamala get kendrick lamar michelle obama write platform speech
416,Let&#39;s go trump!!!!,let u go trump
417,VP Harris is not African American. She is an Indian/Caribbean American. But most of all she is simply an American (USA). She is NOT &quot;black.&quot; I&#39;ve abhorred folks calling themselves by colors for decades. African Americans &amp; European Americans have been duped into this crazy skin color naming of people thing of &quot;race&quot; for centuries. There&#39;s no such thing as a white or black person. (you don&#39;t call Asian Americans folk yellow). Skin color is NOT equal to ethnicity or any sort of identity of a person.,vp harris african american indiancaribbean american simply american usa black abhorred folk calling color decade african american european american duped crazy skin color naming people thing race century thing white black person call asian american folk yellow skin color equal ethnicity sort identity person
418,"Yes ,  She will Win 👑",yes win
419,Yea nope,yea nope
420,As a What woman,woman
421,Only americans would call a person who is half indian half jamaican an african american lol,american would call person half indian half jamaican african american lol
422,Democrats literally switched Biden back with Kamala like it’s a boxing match 💀 <br><br>Democrats really thought they were playing a Pokémon battle 💀 <br><br>Democrats really said “Switch” like it’s an rpg game 💀 <br><br>Democrats really thought that Kamala Harris needed to regain her hp after she was starting to be smoked by Trump last election 💀 <br><br>Democrats really thought they were playing the rebooted game mode from Fortnite 💀 <br><br>Democrats really thought they wouldn’t get Ko’d by the assassination incident if they switched candidates 💀,democrat literally switched biden back kamala boxing match democrat really thought playing pokemon battle democrat really said switch rpg game democrat really thought kamala harris needed regain hp starting smoked trump last election democrat really thought playing rebooted game mode fortnite democrat really thought would get kod assassination incident switched candidate
423,Kamel face will lose miserably.,kamel face lose miserably
424,If i didn&#39;t already know who they were talking about.... I wouldn&#39;t know who they were talking about😮,already know talking would know talking
425,"And here it comes....the leftist media going to play on repeat over and over and over again how Kamala is the greatest thing in the world in all of history. And oddly enough, a lot of you WILL fall for it. Doesn&#39;t take much!",comesthe leftist medium going play repeat kamala greatest thing world history oddly enough lot fall take much
426,If you thought Kamala won against Biden than I think your having the same aspirations as you did when Biden was gonna debate trump. As much as nobody likes pence he beat Kamala in the debate,thought kamala biden think aspiration biden going debate trump much nobody like penny beat kamala debate
427,Man am riding with trump all day ! Easy money,man riding trump day easy money
428,I saw a man with a Obama hat on today… he was homeless. All this identity politics minority this that woman this that race this that is doing nothing but accelerating the demise of this great nation.,saw man obama hat today homeless identity politics minority woman race nothing accelerating demise great nation
429,She combines the worst of Obama and Hillary,combine worst obama hillary
430,First one OUT of the dems primary last time around.  Joke,first one dems primary last time around joke
431,Unbelievable 😂,unbelievable
432,Hmmm no ma’am. Haven’t seen her 10 times seen elected,hmmm madam seen time seen elected
433,I wonder if p diddy will vote for her?,wonder p diddy vote
434,The choice is clear Kamala or PROJECT 2025 check it out,choice clear kamala project check
435,Kamala  ?......hmmm  worst  than Biden...😂,kamala hmmm worst biden
436,Shes african american? Thought she was asian Jamaican.,african american thought asian jamaican
437,Please Remember...it&#39;s not Joe or his age that are the problem...<br>It&#39;s the policies of the democratic party...<br>Kamala will simply be the next puppet on their list of easy to manipulate people<br>Promise her the Presidency and she&#39;ll sign whatever piece of paper they lay in front of her.,please rememberit joe age problemit policy democratic partykamala simply next puppet list easy manipulate peoplepromise presidency sign whatever piece paper lay front
438,Definitely no Trump. He caused heartbeat for everyone and instability to the world.,definitely trump caused heartbeat everyone instability world
439,"DEI pick. Is, was and will remain that.",dei pick remain
440,She&#39;s sucking up to the woke. And she also said the word &quot;freedom&quot;. This is a bad sign I guess,sucking woke also said word freedom bad sign guess
441,Did she find her KNEE pads??,find knee pad
442,Honestly I had just decided to switch to biden after trumps vp pick but now I gotta switch back to trump since Kamala is an advocate for all of joes worst policies...,honestly decided switch biden trump vp pick got switch back trump since kamala advocate joes worst policy
443,English articles Archives - Επίσημη σελίδα των φίλων τού Παναγιώτη Τραϊανού ..Google it,english article archive google
444,What about Pete Buttigegg ?,pete buttigegg
445,Kamalahahahahahaha. Nothing is funny about her running.,kamalahahahahahaha nothing funny running
446,Trump’s ear is stronger than Kamala after taking a bullet.,trump ear stronger kamala taking bullet
447,will not happen..Bernie is the only one who can win,happenbernie one win
448,Tampon Don doesn’t have a chance! <br>Vote Blue through &amp; through!<br>🇺🇸💙🇺🇸💙🇺🇸💙🇺🇸,tampon chance vote blue
449,Kamala you got this ❤❤❤❤,kamala got
450,Old Joe drop for &quot;FREE ICE CREAM&quot; for life ! 😂,old joe drop free ice cream life
451,I like Kamala Harris!,kamala harris
452,libs are so sad they are just trying to hold on to the senate at this point.. Trump is going to wipe the floor with her or any democrat after they show open borders. record high inflation. super high crime. nobody is doing good......  she had 1 job the border and failed horrible..,libs sad trying hold senate point trump going wipe floor democrat show open border record high inflation super high crime nobody good job border failed horrible
453,And There was Several Little Girls WHO Were Killed By Illegal Immigrants!!,several little girl killed illegal immigrant
455,"This isnt about 2024. Its about 2028. Dems painted themselves into a corner by taking on Harris: the least liked among all the 2020 Dem contestants. But they needed the help of the black female vote to come close enough to &quot;appear&quot; to beat Trump. But Harris has always been a liability. But she&#39;d be an incumbent in 2028 should Biden win this time around. Once the Dems saw JD Vance as the vp pick for the Repubs, and witnessed the groundswell of support after Trump survived the assassination attempt, they knew Biden/Harris must go. This is bigger than Biden. Its a play for the future. Think bigger.",dems painted corner taking harris least liked among dem contestant needed help black female vote come close enough appear beat trump harris always liability would incumbent biden win time around dems saw jd vance vp pick repubs witnessed groundswell support trump survived assassination attempt knew bidenharris must go bigger biden play future think bigger
456,"Thank you, Mr. President, for your wisdom, character and selfless patriotism.  It takes a better man to put country before one’s self and endorse Vice President, Kamala Harris. You have my full unwavering support.  Vote Blue up and down the ballot!  Vote for equal justice and the rule of law!  Vote Blue and Save Our Democracy!",thank mr president wisdom character selfless patriotism take better man put country one self endorse vice president kamala harris full unwavering support vote blue ballot vote equal justice rule law vote blue save democracy
457,It&#39;s great to have Trump back in the White House!,great trump back white house
458,I wasn&#39;t even gonna vote. Now im voting for Trump 100%,even going vote voting trump
459,"Nope. Black men aren&#39;t going to vote for her. I say this as a black man myself, who voted Obama 2x. <a href=""http://www.youtube.com/results?search_query=%23trump2024"">#Trump2024</a>",nope black men going vote say black man voted obama x trump
460,They wouldn&#39;t even let me add that your irresponsible to my previous comment..insane,would even let add irresponsible previous commentinsane
461,"Comparing Harris as an orator to Obama, now that is hilarious!",comparing harris orator obama hilarious
462,"Could have tried Michelle Obama, at least she would have been more credible than Kamala. A wet noodle would have more chance of winning.",could tried michelle obama least would credible kamala wet noodle would chance winning
463,All of these comments are just spot on,comment spot
464,Hahahahha all they have is Kamala lol,hahahahha kamala lol
465,Don&#39;t just focus in one race division bait.. it&#39;s a failed campaign again. All voters Matters! Stop being selfish and insecure.,focus one race division bait failed campaign voter matter stop selfish insecure
466,"She is a disaster, this will be very humorous to watch.",disaster humorous watch
467,"&quot;What can be, unburdened by what has been.&quot;🤣🤣🤣",unburdened
469,Very irresponsible,irresponsible
470,Demon Don is getting afraid now.,demon getting afraid
471,nice even more easy to win....... TRUMP VANCE 2024!!! SAVE AMERICA!!!!,nice even easy win trump vance save america
472,This is somehow worse,somehow worse
473,HARRIS?   😂😂😂😂😂,harris
474,OH PLEASE LAUGHING HYENA,oh please laughing hyena
475,what is the role sympathy in US election 2024,role sympathy u election
476,who is next month endorse <br><br>pelosi<br>schumer<br>schiff,next month endorse pelosischumerschiff
477,She failed as border czar,failed border czar
478,"If  corporate media does it&#39;s job,   they will now focus on ancient demented Donnie&#39;s decomposing mental deterioration.",corporate medium job focus ancient demented donnies decomposing mental deterioration
479,She won’t be the candidate 🤦🏽‍♂️,candidate
480,&quot;African American&quot; woman⁉,african american woman
481,only Bernie can beat dump,bernie beat dump
482,Trump stance on abortion is the states decide. How is that restrictive?,trump stance abortion state decide restrictive
483,Ugh she would be a disaster.,ugh would disaster
484,Kamala Harris is too laid back to be president and you guys saw what happened with Hillary in 2016,kamala harris laid back president guy saw happened hillary
485,Kamala doesn&#39;t have a &quot;vision&quot;,kamala vision
486,Harris is NOT African American!! Harris has a Mother from &quot;India&quot; and her Father is in &quot;Jamaica&quot;.,harris african american harris mother india father jamaica
487,The gaslight is craaaazy. Her numbers would probably be lower than those of biden.,gaslight craaaazy number would probably lower biden
488,she a Marxist,marxist
489,"Is there anyone who won’t lie for this WH? So pathetic to listen to this news group, more 🤡 on stage. She will never win, unless they cheat again!",anyone lie wh pathetic listen news group stage never win unless cheat
490,"I thought Harris was Indian and chinese, she is black ?",thought harris indian chinese black
493,She can&#39;t even get huge crowds because her rating suck.,not even get huge crowd rating suck
494,"She was a diversity hire hahaha as a trump voter, i hope he runs against her. It&#39;d be a much easier W",diversity hire hahaha trump voter hope run would much easier w
495,Harris has no chance against trump,harris chance trump
496,"Kamala is a very smart, strong and capable person. She will make an incredibly effective president.",kamala smart strong capable person make incredibly effective president
497,It’s the current VP against the Republican criminal.,current vp republican criminal
498,Presiden corte nomina hobama casa blanca,presiden corte nomina hobama casa blanca
499,How long till they block comments ?,long till block comment
501,Harris you are hiding when you are vice pres,harris hiding vice pres
502,Women Power !  👍💪⚖️🦅🇺🇸💙🕊️🌹,woman power
503,Nope,nope
504,Not a forgone conclusion that it will be her. Pelosi is right to want a mini primary.,forgone conclusion pelosi right want mini primary
505,"She cant win, you need someone who can take away the division . <br>Thats the best thing what the people can have.",not win need someone take away division best thing people
506,"If she’s a woman in color, is she multilingual too?",woman color multilingual
507,Its over. Trump has already won 💙,trump already
508,Harris has a worse chance.,harris worse chance
509,Let&#39;s have a true open convention. Kamala Harris is the SECOND WEAKEST after Biden...<br>CORNEL WEST<br>MARIANNE WILLIAMSON<br>JILL STEIN<br>I know I am not the only person who would NEVER vote Kamala.....,let u true open convention kamala harris second weakest bidencornel westmarianne williamsonjill steini know person would never vote kamala
510,"Obviously, no. She is as bad, if not worse, than Joe.",obviously bad worse joe
511,"The most fake person which they could choose from the whole Democratic party, did that party have anyone who is actually not having a fake smile and and giving a classical Chat GPT speeches?",fake person could choose whole democratic party party anyone actually fake smile giving classical chat gpt speech
512,Zero chance of winning. Trump 2024.,zero chance winning trump
514,"I don&#39;t know if Harris can defeat Trump or not, but I can predict one thing for sure. If Harris loses, she will blame sexism and white supremacy as the reason why she lost. Mark my words.",know harris defeat trump predict one thing sure harris loses blame sexism white supremacy reason lost mark word
515,Haven’t seen her actively speaking on policies or anything at all. Forgot she was the VP,seen actively speaking policy anything forgot vp
516,If you tried DEI you will fail,tried dei fail
517,"Harris is the same as Biden, look at the destruction of our country. Trump is the better candidate for President. Go Trump make America Great Again. 🇺🇲",harris biden look destruction country trump better candidate president go trump make america great
518,She&#39;s not African American. Her parents are from Jamaica and India.,african american parent jamaica india
519,"I was bussed downtown from the outskirts of Louisville, Ky in the 80&#39;s. Those busses ran two ways.",bussed downtown outskirt louisville ky bus ran two way
520,"Remember people, if you&#39;re black, female or both than you must vote for Kamala Harris because she&#39;s also a black woman therefore she has your best interest in mind. <br>Also night in shining armor is a racist sexist statement how dare he! 😂",remember people black female must vote kamala harris also black woman therefore best interest mind also night shining armor racist sexist statement dare
521,"Kamala Harris. African American? <a href=""https://www.youtube.com/watch?v=akvhkLHnOAM&amp;t=176"">2:56</a>",kamala harris african american
522,ANYONE is a better candidate than Trump!  All he has is his massive ego and the backing of millionaires and billionaires who will profit off his policies.,anyone better candidate trump massive ego backing millionaire billionaire profit policy
523,Kamala isn&#39;t that popular amongst people not registered as Democrats plus she hardly has the support of most Democrats. Biden did the damage and is basically setting up Kamala to fail,kamala popular amongst people registered democrat plus hardly support democrat biden damage basically setting kamala fail
524,The country has fallen so hard that they’re trying to push for a woman president again. 🤦‍♂️ <br>This is a huge L.,country fallen hard trying push woman president huge l
525,Could you imagine a debate between Trump and Kamala.  She will be destroyed on policy and everything else.  Horrrible.  How can anyone who loves America really consider her.  I would take Michelle Obama over her.,could imagine debate trump kamala destroyed policy everything else horrrible anyone love america really consider would take michelle obama
526,Give me a break k H is awful,give break k h awful
527,?African American woman????????,african american woman
528,Trump 2024,trump
529,You just can&#39;t make this stuff up anymore!! 😂,not make stuff anymore
530,RIGHT!,right
531,The dems are toast. She is the most untalented politician they could have gone with.,dems toast untalented politician could gone
532,"Noway,she is not a leader,she made no effort as vice president, no,thats just not ok,if joe biden steps out of being a president that would give  Harris a few days, but she is not a leader to noone.",nowayshe leadershe made effort vice president nothat okif joe biden step president would give harris day leader noone
533,Just pressed DISLIKE BUTTON 😁,pressed dislike button
534,LOL she has been the worst Vice President in history.  She speaks and acts like a 10th grader!,lol worst vice president history speaks act th grader
536,"I fail to understand how Kamala Harris would be a better candidate than Joe Biden considering that she was one of the least popular &quot;major&quot; candidates in the 2020 primaries and has spent the last 4 years being almost as invisible and inconsequential as Melania Trump.<br><br>Essentially, with nothing new to show for herself, how is she supposed to beat Trump in 2024 when she couldn&#39;t even beat Biden (or Buttigieg, or Booker, etc.) in 2020?",fail understand kamala harris would better candidate joe biden considering one least popular major candidate primary spent last year almost invisible inconsequential melania trumpessentially nothing new show supposed beat trump could even beat biden buttigieg booker etc
537,It&#39;s Joever. Welcome to Trump 2024...,joever welcome trump
538,Still weak . Trump will win .,still weak trump win
539,"This has got to be a joke, a very bad joke!!",got joke bad joke
540,All about her race and not her policies…,race policy
541,"Feminism won’t win this one. Sorry to disappoint. Trump by a Landslide. <a href=""http://www.youtube.com/results?search_query=%23wokestreetjournal"">#WokeStreetJournal</a>",feminism win one sorry disappoint trump landslide wokestreetjournal
542,"They keep pushing that she’s a black woman lol. Notice they never mention or show her husband or parents (just google them). Also they never mention her policies in cali hurt blacks the most . Oh and lastly, most people don’t even know about the affair that propelled her ascent into politics… RFK 2024",keep pushing black woman lol notice never mention show husband parent google also never mention policy cali hurt black oh lastly people even know affair propelled ascent politics rfk
543,"People not voting policy but perception of character (after egregious censorship) is what brought us to this mayhem in the first place. That and the 4a.m. anomaly, no ID required to vote, unguarded street ballot boxes, etc.",people voting policy perception character egregious censorship brought u mayhem first place anomaly id required vote unguarded street ballot box etc
544,"Cackling Unburdened Kamala has an uphill battle, she’s definitely no Obama 🤷🏼‍♀️🤡💩",cackling unburdened kamala uphill battle definitely obama
545,"Naa, no chance she wins",naa chance win
546,Kamala polls far worse than Biden 😂,kamala poll far worse biden
547,We want the candidate that will stand up for women&#39;s rights!,want candidate stand woman right
548,Kamala Harris No.1 Choice ❤,kamala harris choice
549,Wait until Joe Biden finds out about this!,wait joe biden find
550,Big poooof,big poooof
551,"man they are ramping up the spin machine quickly. these are same &quot;news&quot; outlets that wanted us to believe we needed to wear masks, that vaccines work, that Biden wasn&#39;t mentally gone, or that the left cares about democracy (even though we aren&#39;t one anyway).",man ramping spin machine quickly news outlet wanted u believe needed wear mask vaccine work biden mentally gone left care democracy even though one anyway
552,Kamala harris,kamala harris
553,her catch line is &quot;do not come&quot;,catch line come
554,Isnt she the one who was controlling Biden?,one controlling biden
555,Oh Yeah! Definately stronger!!! Momala should pick Dylan Mulvaney for VP! 😂😂😂 They&#39;d be unstoppable!!!,oh yeah definately stronger momala pick dylan mulvaney vp would unstoppable
556,"<a href=""https://www.youtube.com/watch?v=akvhkLHnOAM&amp;t=149"">2:29</a> since when did Ken Jennings turn political?",since ken jennings turn political
557,SO QUICK ON THE NEW PROPAGANDA.  IMPRESSIVE.,quick new propaganda impressive
558,Ok now I’m voting!!!! Before I was staying home!! But let’s get in formation family!!!! ❤❤❤❤❤ HARRIS!!!,ok voting staying home let u get formation family harris
559,❗ THE HOUSE OF CARDS HAVE FALLEN DOWN.... ITS OVER DEMS... ITS F.. ING OVER,house card fallen dems f ing
560,She&#39;s even worse than Biden. No Thank You.,even worse biden thank
561,"No, Harris can&#39;t beat Trump. The DNC has once again offered us up some of their slop. Don&#39;t think for a second that this was not all perfectly orchestrated by the Democratic party. If Biden had stepped down in a timely manner, it would have opened up the contenders for the presidential race. Now it is TOO LATE, and they will choose Harris for us. What a joke this party of &quot;DEMOCRACY&quot; has become. This is more like what like what China and Russia does. It&#39;s all rigged.",harris not beat trump dnc offered u slop think second perfectly orchestrated democratic party biden stepped timely manner would opened contender presidential race late choose harris u joke party democracy become china russia rigged
562,"SHE&#39;S NOT AFRICAN AMERICAN, her father is Jamaican and her mother is Indian. Lying again",african american father jamaican mother indian lying
563,But he promised in 2024 to win 2020 elections.,promised win election
564,We have been unburdened by what has been! Now shed the baggage.,unburdened would baggage
565,"Biden presidency was a disappointment. If they put his VP as the candidate, they will lose. It needs to be someone not tied to the Biden tree",biden presidency disappointment put vp candidate lose need someone tied biden tree
566,No chance 😂,chance
567,"Kamala Harris is a joke, worst VP ever…!   TRUMP 2024 🇺🇸💪🏻",kamala harris joke worst vp ever trump
568,Trump 2024.,trump
569,Not.. she can’t win,not win
570,She won 4 percent of the vote...,percent vote
572,Hilarious!,hilarious
573,Vice president Harris is not black😢,vice president harris black
574,Kamala has no chance with Trump  she is the reason for our Border Crisis No way,kamala chance trump reason border crisis way
575,What can be unburned by what has been 😅,unburned
576,"So, the plan is to play the race card to get dems within cheating distance... got it .",plan play race card get dems within cheating distance got
577,The democrat party is so out of touch with Americans,democrat party touch american
578,She&#39;s already lost,already lost
579,"WSJ, I feel like this needs to be said. People of the same race can vote differently and have difference political affiliations.",wsj feel need said people race vote differently difference political affiliation
580,I endorse Kamala Harris (and she has my vote for our next president).,endorse kamala harris vote next president
581,"Yay 😂, Trumps our next President, again!!! I&#39;m a black woman!!!!",yay trump next president black woman
582,"Harris2024 <a href=""http://www.youtube.com/results?search_query=%23yeswecanagain"">#yeswecanagain</a>",harris yeswecanagain
583,Nah RFK Jr is the answer. Stop silencing him with your agendas.,nah rfk jr answer stop silencing agenda
584,Trump wins much easier now,trump win much easier
585,"Kamala was never anything more than Insurance for Joe Biden. We wont remove him, because she is WORSE. The Democrats get what they prepared for, a loss and a mess. The country was never ever put 1st, not then, not Now.",kamala never anything insurance joe biden remove worse democrat get prepared loss mess country never ever put st
586,Be scared trump!!!,scared trump
587,you people who see yourselves political as pendents with a finger on the pulse of the desires of the American people are fooling yourselves if you think that Kamala Harris can beat Donald Trump. I will be really shocked at the incompetence of the Democratic Party if she ends up the nominee.<br><br>Word on the street Is that while she was a prosecutor she put a lot of people of color behind bars for nonviolent crimes. That&#39;s a rhetoric that lost Hillary Clinton the campaign and it&#39;s gonna be the same thing for Harris.,people see political pendent finger pulse desire american people fooling think kamala harris beat donald trump really shocked incompetence democratic party end nomineeword street prosecutor put lot people color behind bar nonviolent crime rhetoric lost hillary clinton campaign going thing harris
588,ZZZ... wake me up when Trump wins.,zzz wake trump win
589,"One Word,  NO....Kamala Harris is an absolute disaster , she polls lower than Joe Biden if you can believe that !! She has absolutely zero chance of beating Trump !!",one word nokamala harris absolute disaster poll lower joe biden believe absolutely zero chance beating trump
590,She can&#39;t put 2 words together. What a joke.,not put word together joke
591,"<a href=""http://www.youtube.com/results?search_query=%23trump2024"">#Trump2024</a>",trump
592,Harris doesn&#39;t stand a chance.,harris stand chance
593,She’s 59.  Hallelujah.,hallelujah
594,"Kamala  is  a  decent  person  and  a  very  smart  lady  i  wish  her  best  of  luck  for  next  4  years  she  will  be  a  shinning  light   for  all  americans  black  or  white ,  Joe  Biden served  his  country  for  last  50  years  what  a  decent  man  he  is  i  wish  him well  .",kamala decent person smart lady wish best luck next year shinning light american black white joe biden served country last year decent man wish well
595,she about as &quot;african american&quot; as joe is not senile,african american joe senile
596,"If blacks and Hispanics come together, Harris will win .",black hispanic come together harris win
597,HARRIS FOR VICE PRESIDENT 2024!!!<br>🔵 🔵 🔵 🔵 <br>🇺🇸 🇺🇸 🇺🇸 🇺🇸 <br>😁😁😁😁,harris vice president
598,Kamala toe,kamala toe
599,please just stop trump 😅,please stop trump
600,Former Prosecutor. Debate or Trial. She already says Trump is Guilty. Conflict of interest.,former prosecutor debate trial already say trump guilty conflict interest
601,America fouled up last time a woman ran. Let’s not screw up again!,america fouled last time woman ran let u screw
602,strong lol,strong lol
603,RIP BIDEN 😂,rip biden
604,Kamala Harris is the worst candidate to beat Trump now!,kamala harris worst candidate beat trump
605,Para empesar nunca ayudo a controller la emigracion ilegal,para empesar nunca ayudo controller la emigracion ilegal
606,"Now I’m really worried that trump might win. I really hope Harris can win, ‘cause anyone would be better than trump a lier, an atheist, a lawbreaker, a narcissist with money.",really worried trump might win really hope harris win anyone would better trump lier atheist lawbreaker narcissist money
607,"Doesn&#39;t matter who the Dems pick, Trump won.",matter dems pick trump
608,Kamala Harris! Let&#39;s go! 🙌,kamala harris let u go
609,HAHAHAHAHAHA the kackler,hahahahahaha kackler
610,Our government is a mess. What is giggles going to do for our government.,government mess giggle going government
611,The dating scene has made black men more conservative than ever.<br>We really not rocking with harris like that,dating scene made black men conservative everwe really rocking harris
612,"Biden has been the greatest gift to Trump and the republicans this year and he also went out with a bang by endorsing Harris.  Idc what The WSJ says, lol, Kamala has the least chance of beating Trump.  You stabbed Joe Biden and he stabbed you back.  The democrats ticket will not include two women so you can forget it may include Michelle Obama or Hillary as her VP.   Not gonna happen.  And if they Snub Harris, it will be the biggest black eye for this party.  <br><br>So yes, thank you Joey!!  Like Jill said:  You did good….",biden greatest gift trump republican year also went bang endorsing harris idc wsj say lol kamala least chance beating trump stabbed joe biden stabbed back democrat ticket include two woman forget may include michelle obama hillary vp going happen snub harris biggest black eye party yes thank joey jill said good
613,Bernie Sanders for VP 2024,bernie sander vp
614,WSJ was being edged with biden dropping out,wsj edged biden dropping
616,She only make sense when she talk about yellow school buses 🚌 😢😢😢,make sense talk yellow school bus
617,Ummm….NO!!! Not even close.,ummmno even close
618,Have Kamala Harris take the cognitive test like Trump did I bet she won’t pass,kamala harris take cognitive test trump bet pas
619,"I&#39;m sure the WSJ is fully aware that Kamala only garnered 1% of the &#39;20 California primary vote, even the vast majority of fruits and nuts wanted nothing to do with her. If it weren&#39;t for rigged elections she wouldn&#39;t be VP. I didn&#39;t watch this leftist drivel but I doubt those facts got mentioned.",sure wsj fully aware kamala garnered california primary vote even vast majority fruit nut wanted nothing rigged election would vp watch leftist drivel doubt fact got mentioned
